[13/Mar/2025:10:08:23 +0000] - 200 200 - GET https mpm.localhost "/api/users/me?expand=permissions" [Client 127.0.0.1] [Length 535] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/nginx/proxy"
[13/Mar/2025:10:08:54 +0000] - 200 200 - GET https mpm.localhost "/api/" [Client 127.0.0.1] [Length 61] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/nginx/proxy"
[13/Mar/2025:10:08:54 +0000] - 200 200 - GET https mpm.localhost "/api/users/me?expand=permissions" [Client 127.0.0.1] [Length 535] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/nginx/proxy"
[13/Mar/2025:10:09:25 +0000] - 200 200 - GET https mpm.localhost "/api/" [Client 127.0.0.1] [Length 61] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/nginx/proxy"
[13/Mar/2025:10:09:25 +0000] - 200 200 - GET https mpm.localhost "/api/users/me?expand=permissions" [Client 127.0.0.1] [Length 535] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/nginx/proxy"
[13/Mar/2025:10:09:56 +0000] - 200 200 - GET https mpm.localhost "/api/" [Client 127.0.0.1] [Length 61] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/nginx/proxy"
[13/Mar/2025:10:09:56 +0000] - 200 200 - GET https mpm.localhost "/api/users/me?expand=permissions" [Client 127.0.0.1] [Length 535] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/nginx/proxy"
[13/Mar/2025:10:10:27 +0000] - 200 200 - GET https mpm.localhost "/api/" [Client 127.0.0.1] [Length 61] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/nginx/proxy"
[13/Mar/2025:10:10:27 +0000] - 200 200 - GET https mpm.localhost "/api/users/me?expand=permissions" [Client 127.0.0.1] [Length 535] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/nginx/proxy"
[13/Mar/2025:10:10:58 +0000] - 200 200 - GET https mpm.localhost "/api/" [Client 127.0.0.1] [Length 61] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/nginx/proxy"
[13/Mar/2025:10:10:58 +0000] - 200 200 - GET https mpm.localhost "/api/users/me?expand=permissions" [Client 127.0.0.1] [Length 535] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/nginx/proxy"
[13/Mar/2025:10:11:29 +0000] - 200 200 - GET https mpm.localhost "/api/" [Client 127.0.0.1] [Length 61] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/nginx/proxy"
[13/Mar/2025:10:11:29 +0000] - 200 200 - GET https mpm.localhost "/api/users/me?expand=permissions" [Client 127.0.0.1] [Length 535] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/nginx/proxy"
[13/Mar/2025:10:12:01 +0000] - 200 200 - GET https mpm.localhost "/api/" [Client 127.0.0.1] [Length 61] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36" "https://mpm.localhost/nginx/proxy"
